Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Charlie Watts Tentet	Live At Ronnie Scotts CD1	(5, 8)	What's New	Charlie Watts Tentet	Live At Ronnie Scotts CD1	What's New	True	True	True
Charlie Watts Tentet	Live At Ronnie Scotts CD1	(3, 8)	Anthony's Dice	Charlie Watts Tentet	Live At Ronnie Scotts CD1	Anthony's Dice	True	True	True
Charlie Watts Tentet	Live At Ronnie Scotts CD1	(2, 8)	Bemsha Swing	Charlie Watts Tentet	Live At Ronnie Scotts CD1	Bemsha Swing	True	True	True
Charlie Watts Tentet	Live At Ronnie Scotts CD1	(6, 8)	CW Announcement	Charlie Watts Tentet	Live At Ronnie Scotts CD1	CW Announcement	True	True	True
Charlie Watts Tentet	Live At Ronnie Scotts CD1	(8, 8)	A Single Petal Of A Rose	Charlie Watts Tentet	Live At Ronnie Scotts CD1	A Single Petal Of A Rose	True	True	True
Charlie Watts Tentet	Live At Ronnie Scotts CD1	(1, 8)	Main Stem	Charlie Watts Tentet	Live At Ronnie Scotts CD1	Main Stem	True	True	True
Charlie Watts Tentet	Live At Ronnie Scotts CD1	(7, 8)	Tin Deo	Charlie Watts Tentet	Live At Ronnie Scotts CD1	Tin-Tin Deo	True	True	False
Charlie Watts Tentet	Live At Ronnie Scotts CD1	(4, 8)	Roll 'Em Charlie	Charlie Watts Tentet	Live At Ronnie Scotts CD1	Roll 'Em Charlie	True	True	True
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
Charlie Watts Tentet	Live At Ronnie Scotts Cd2	(5, 5)	The Elvin Suite	Charlie Watts Tentet	Live At Ronnie Scotts Cd2	The Elvin Suite	True	True	True
Charlie Watts Tentet	Live At Ronnie Scotts Cd2	(3, 5)	Airto	Charlie Watts Tentet	Live At Ronnie Scotts Cd2	Airto	True	True	True
Charlie Watts Tentet	Live At Ronnie Scotts Cd2	(2, 5)	Little Willie Leaps	Charlie Watts Tentet	Live At Ronnie Scotts Cd2	Little Willie Leaps	True	True	True
Charlie Watts Tentet	Live At Ronnie Scotts Cd2	(1, 5)	Sunset of the Mockingbird	Charlie Watts Tentet	Live At Ronnie Scotts Cd2	Sunset of the Mockingbird	True	True	True
Charlie Watts Tentet	Live At Ronnie Scotts Cd2	(4, 5)	Chasing Reality (Interfaction)	Charlie Watts Tentet	Live At Ronnie Scotts Cd2	Chasing Reality (Interfaction)	True	True	True
Artist 	 Album 	 Trackno 	 Title 	 ID3_artist 	 ID3_album 	 ID3_track 	 Artist_match 	 Album_match 	 track_match 
