Filepath 	 Artist 	 Album 	 tune
/Volumes/sandisk2/music/MP3s/jazz/charlie watts tentet/live at ronnie scotts cd1/05-what's new.mp3	Charlie Watts Tentet	Live At Ronnie Scotts Cd1	05-what's new.mp3
/Volumes/sandisk2/music/MP3s/jazz/charlie watts tentet/live at ronnie scotts cd1/03-anthony's dice.mp3	Charlie Watts Tentet	Live At Ronnie Scotts Cd1	03-anthony's dice.mp3
/Volumes/sandisk2/music/MP3s/jazz/charlie watts tentet/live at ronnie scotts cd1/02-bemsha swing.mp3	Charlie Watts Tentet	Live At Ronnie Scotts Cd1	02-bemsha swing.mp3
/Volumes/sandisk2/music/MP3s/jazz/charlie watts tentet/live at ronnie scotts cd1/06-cw announcement.mp3	Charlie Watts Tentet	Live At Ronnie Scotts Cd1	06-cw announcement.mp3
/Volumes/sandisk2/music/MP3s/jazz/charlie watts tentet/live at ronnie scotts cd1/08-a single petal of a rose.mp3	Charlie Watts Tentet	Live At Ronnie Scotts Cd1	08-a single petal of a rose.mp3
/Volumes/sandisk2/music/MP3s/jazz/charlie watts tentet/live at ronnie scotts cd1/01-main stem.mp3	Charlie Watts Tentet	Live At Ronnie Scotts Cd1	01-main stem.mp3
/Volumes/sandisk2/music/MP3s/jazz/charlie watts tentet/live at ronnie scotts cd1/07-tin-tin deo.mp3	Charlie Watts Tentet	Live At Ronnie Scotts Cd1	07-tin-tin deo.mp3
/Volumes/sandisk2/music/MP3s/jazz/charlie watts tentet/live at ronnie scotts cd1/04-roll 'em charlie.mp3	Charlie Watts Tentet	Live At Ronnie Scotts Cd1	04-roll 'em charlie.mp3
/Volumes/sandisk2/music/MP3s/jazz/charlie watts tentet/live at ronnie scotts cd2/05-the elvin suite.mp3	Charlie Watts Tentet	Live At Ronnie Scotts Cd2	05-the elvin suite.mp3
/Volumes/sandisk2/music/MP3s/jazz/charlie watts tentet/live at ronnie scotts cd2/03-airto.mp3	Charlie Watts Tentet	Live At Ronnie Scotts Cd2	03-airto.mp3
/Volumes/sandisk2/music/MP3s/jazz/charlie watts tentet/live at ronnie scotts cd2/02-little willie leaps.mp3	Charlie Watts Tentet	Live At Ronnie Scotts Cd2	02-little willie leaps.mp3
/Volumes/sandisk2/music/MP3s/jazz/charlie watts tentet/live at ronnie scotts cd2/01-sunset of the mockingbird.mp3	Charlie Watts Tentet	Live At Ronnie Scotts Cd2	01-sunset of the mockingbird.mp3
/Volumes/sandisk2/music/MP3s/jazz/charlie watts tentet/live at ronnie scotts cd2/04-chasing reality (interfaction).mp3	Charlie Watts Tentet	Live At Ronnie Scotts Cd2	04-chasing reality (interfaction).mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the gellers/10-heather on the hill.mp3	Herb Geller	The Gellers	10-heather on the hill.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the gellers/01-araphoe.mp3	Herb Geller	The Gellers	01-araphoe.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the gellers/08-i've got a feeling i'm falling.mp3	Herb Geller	The Gellers	08-i've got a feeling i'm falling.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the gellers/02-come rain or come shine.mp3	Herb Geller	The Gellers	02-come rain or come shine.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the gellers/07-blues in the night.mp3	Herb Geller	The Gellers	07-blues in the night.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the gellers/06-two of a kind.mp3	Herb Geller	The Gellers	06-two of a kind.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the gellers/12-suppertime.mp3	Herb Geller	The Gellers	12-suppertime.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the gellers/11-bewitched.mp3	Herb Geller	The Gellers	11-bewitched.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the gellers/04-the answer man.mp3	Herb Geller	The Gellers	04-the answer man.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the gellers/05-love (you magic spell).mp3	Herb Geller	The Gellers	05-love (you magic spell).mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the gellers/03-if i were a bell.mp3	Herb Geller	The Gellers	03-if i were a bell.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the gellers/09-patterns.mp3	Herb Geller	The Gellers	09-patterns.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the herb geller sextette/05-vone mae.mp3	Herb Geller	The Herb Geller Sextette	05-vone mae.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the herb geller sextette/03-gin for fluegelhorns.mp3	Herb Geller	The Herb Geller Sextette	03-gin for fluegelhorns.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the herb geller sextette/08-you'd be so nice to come home to.mp3	Herb Geller	The Herb Geller Sextette	08-you'd be so nice to come home to.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the herb geller sextette/06-rockin' chair.mp3	Herb Geller	The Herb Geller Sextette	06-rockin' chair.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the herb geller sextette/04-tardi at zardi's.mp3	Herb Geller	The Herb Geller Sextette	04-tardi at zardi's.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the herb geller sextette/02-crazy he calls me.mp3	Herb Geller	The Herb Geller Sextette	02-crazy he calls me.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the herb geller sextette/07-owl eyes.mp3	Herb Geller	The Herb Geller Sextette	07-owl eyes.mp3
/Volumes/sandisk2/music/MP3s/jazz/herb geller/the herb geller sextette/01-outpost incident.mp3	Herb Geller	The Herb Geller Sextette	01-outpost incident.mp3
/Volumes/sandisk2/music/MP3s/jazz/stan getz and chet baker/stan meets chet/03. jordu.mp3	Stan Getz And Chet Baker	Stan Meets Chet	03. jordu.mp3
